name,country,type,domain,acquiring_capability,source,notes
Bancolombia,Colombia,bank,bancolombia.com,confirmed,Wikipedia/Bancolombia adquirencia,Largest bank; owns Wompi gateway and Nequi wallet; merchant acquiring via Redeban
Banco de Bogota,Colombia,bank,bancodebogota.com,confirmed,Wikipedia/Credibanco,Grupo Aval flagship; merchant acquiring via Credibanco
Davivienda,Colombia,bank,davivienda.com,confirmed,Wikipedia,Owns Daviplata wallet; absorbed Scotiabank Colpatria 2025; merchant acquiring
BBVA Colombia,Colombia,bank,bbva.com.co,confirmed,Wikipedia,Top-5 bank; full merchant acquiring suite
Banco de Occidente,Colombia,bank,bancodeoccidente.com.co,confirmed,Wikipedia,Grupo Aval; merchant acquiring via Credibanco
Banco Popular,Colombia,bank,bancopopular.com.co,likely,Wikipedia,Grupo Aval; standard merchant services
Banco AV Villas,Colombia,bank,avvillas.com.co,likely,Wikipedia,Grupo Aval; standard merchant services
Banco Agrario,Colombia,bank,bancoagrario.gov.co,likely,Wikipedia,State-owned rural bank
GNB Sudameris,Colombia,bank,gnbsudameris.com.co,likely,Wikipedia,Mid-size universal bank
Banco Itau Colombia,Colombia,bank,itau.co,likely,Wikipedia,Acquired CorpBanca 2014
Banco Caja Social,Colombia,bank,bancocajasocial.com,likely,Wikipedia,Fundacion Social-owned; SME segment
Banco Falabella,Colombia,bank,bancofalabella.com.co,likely,Wikipedia,Retail bank; CMR card issuer
Bancoomeva,Colombia,bank,bancoomeva.com.co,likely,Wikipedia,Cooperative-origin bank
Banco Finandina,Colombia,bank,bancofinandina.com,likely,Wikipedia,Consumer/auto finance
Banco Pichincha Colombia,Colombia,bank,bancopichincha.com.co,likely,Wikipedia,Ecuadorian group; SME focus
Banco Mundo Mujer,Colombia,bank,bmm.com.co,likely,Wikipedia,Microfinance bank
Mibanco Colombia,Colombia,bank,mibanco.com.co,likely,Wikipedia,Bancolombia microfinance unit
Serfinanza,Colombia,bank,serfinanza.com.co,likely,Wikipedia,Promigas/Olimpica-linked bank
Ban100,Colombia,bank,ban100.com,likely,Wikipedia,Digital-first bank
Bancamia,Colombia,bank,bancamia.com.co,likely,Wikipedia,Microfinance bank
Banco W,Colombia,bank,bancow.com.co,likely,Wikipedia,Microfinance bank
Banco Union Colombia,Colombia,bank,bancounion.com.co,likely,Wikipedia,Coopcentral group
Banco Coopcentral,Colombia,bank,coopcentral.com.co,likely,Wikipedia,Cooperative-origin bank
