name,country,type,domain,acquiring_capability,source,notes
NDD,Brazil,payment_institution,,unknown,BCB IP registry + manual,
Conpay,Brazil,payment_institution,,unknown,BCB IP registry + manual,
VoxCred,Brazil,payment_institution,voxcred.com.br,unknown,BCB IP registry + manual,
A27 IP,Brazil,payment_institution,,unknown,BCB IP registry + manual,
MW Bank,Brazil,payment_institution,mwbank.com.br,unknown,BCB IP registry + manual,
Pagme,Brazil,payment_institution,pagme.app,unknown,BCB IP registry + manual,
WOH,Brazil,payment_institution,,unknown,BCB IP registry + manual,
Pinpag,Brazil,payment_institution,pinpag.com.br,likely,BCB IP registry + manual,Recurring payments
Efí (ex-Gerencianet),Brazil,sub_acquirer,sejaefi.com.br,confirmed,BCB IP registry + manual,Boleto + cards + PIX sub-acquirer
Payface,Brazil,payment_institution,payface.com.br,confirmed,BCB IP registry + manual,Biometric face-pay acquirer
Verdecard (Quero-Quero),Brazil,payment_institution,verdecard.com.br,likely,BCB IP registry + manual,Retail card + acquiring
Zoop (iFood),Brazil,sub_acquirer,zoop.com.br,confirmed,BCB IP registry + manual,"White-label PayFac, owned by iFood"
Wasu Wallet,Brazil,payment_institution,,unknown,BCB IP registry + manual,
Calcard,Brazil,payment_institution,calcard.com.br,likely,BCB IP registry + manual,Private label cards + acquiring
AvanCard,Brazil,payment_institution,,likely,BCB IP registry + manual,Private label cards
Appmax,Brazil,sub_acquirer,appmax.com.br,confirmed,BCB IP registry + manual,Digital business sub-acquirer
Uzzipay,Brazil,payment_institution,uzzipay.com,unknown,BCB IP registry + manual,
Edenred Mobilidade,Brazil,payment_institution,edenredmobilidade.com.br,confirmed,BCB IP registry + manual,Fleet/mobility cards
Mulvi,Brazil,payment_institution,,unknown,BCB IP registry + manual,
Bolt Card,Brazil,payment_institution,boltcard.com.br,unknown,BCB IP registry + manual,
F & F,Brazil,payment_institution,ffcred.com,likely,BCB IP registry,Licensed Instituição de Pagamento; acquiring inferred
Belluno,Brazil,payment_institution,belluno.digital,unknown,BCB IP registry + manual,
Bitz,Brazil,wallet,bancobitz.com.br,likely,BCB IP registry + manual,Bradesco wallet
WX Pay,Brazil,payment_institution,wxpay.com.br,unknown,BCB IP registry + manual,
IP4Y,Brazil,payment_institution,ip4y.com.br,unknown,BCB IP registry + manual,
Qesh,Brazil,payment_institution,,likely,BCB IP registry + manual,BaaS infra
Kiwify,Brazil,sub_acquirer,kiwify.com.br,confirmed,BCB IP registry + manual,Creator/checkout sub-acquirer
DMCard,Brazil,payment_institution,vocedm.com.br,likely,BCB IP registry + manual,Private label cards / acquirer
PagueVeloz,Brazil,payment_institution,pagueveloz.com.br,unknown,BCB IP registry + manual,
Iupi,Brazil,wallet,,likely,BCB IP registry + manual,Teen wallet
Brasilcard,Brazil,payment_institution,,likely,BCB IP registry + manual,Private label cards / acquirer
Gowd,Brazil,payment_institution,gowd.com,unknown,BCB IP registry + manual,
Credi-Shop,Brazil,payment_institution,credishop.com.br,likely,BCB IP registry + manual,Retail private label / acquirer
ZRO Bank,Brazil,payment_institution,zrobank.com,unknown,BCB IP registry + manual,
Beeteller,Brazil,payment_institution,beeteller.com,confirmed,BCB IP registry + manual,Cross-border LATAM payments
Attrus,Brazil,payment_institution,attrus.com,unknown,BCB IP registry + manual,
PagPrime,Brazil,payment_institution,,unknown,BCB IP registry + manual,
Asaas,Brazil,sub_acquirer,asaas.com,confirmed,BCB IP registry + manual,SMB sub-acquirer + digital bank
ContaPronta,Brazil,payment_institution,contapronta.com.br,unknown,BCB IP registry + manual,
Cooper Benefícios,Brazil,payment_institution,coopercard.com.br,likely,BCB IP registry + manual,Benefits cards
Google Pay Brasil,Brazil,wallet,pay.google.com,confirmed,BCB IP registry + manual,Wallet
Max IP,Brazil,payment_institution,,unknown,BCB IP registry + manual,
Valecard,Brazil,payment_institution,valecard.com.br,confirmed,BCB IP registry + manual,Fleet/benefits cards
LocalPayment,Brazil,payment_institution,localpayment.com,confirmed,BCB IP registry + manual,Cross-border LATAM acquirer
3xPay,Brazil,payment_institution,3xpay.co,unknown,BCB IP registry + manual,
Vero (Banrisul),Brazil,acquirer,verocartoes.com.br,confirmed,BCB IP registry + manual,Banrisul-owned multi-network acquirer
ContaAzul Pay,Brazil,sub_acquirer,contaazul.com,confirmed,BCB IP registry + manual,SaaS-bundled SMB payments
Mag IP,Brazil,payment_institution,,unknown,BCB IP registry + manual,
Monery,Brazil,payment_institution,,unknown,BCB IP registry + manual,
Onnibank (V3),Brazil,payment_institution,onnibank.com.br,unknown,BCB IP registry + manual,
Reag IP,Brazil,payment_institution,reagip.com.br,unknown,BCB IP registry + manual,
Edenred Brasil (Ticket),Brazil,payment_institution,edenredpay.com.br,confirmed,BCB IP registry + manual,Benefits + acquiring
Brasil Cash,Brazil,payment_institution,,unknown,BCB IP registry + manual,
MentoreBank,Brazil,payment_institution,mentorebank.com.br,unknown,BCB IP registry + manual,
Mercado Pago Brasil,Brazil,acquirer,mercadopago.com.br,confirmed,BCB IP registry + manual,MercadoLibre payments arm
Stripe Brasil,Brazil,acquirer,stripe.com,confirmed,BCB IP registry + manual,Global acquirer + IP licensed in BR
PagBrasil,Brazil,acquirer,pagbrasil.com,confirmed,BCB IP registry + manual,PIX + boleto + cards acquirer
Lend,Brazil,payment_institution,lend.tech,unknown,BCB IP registry + manual,
Afinz,Brazil,payment_institution,afinz.com.br,likely,BCB IP registry + manual,Private label cards / acquirer
Pay.com.br,Brazil,payment_institution,pay.com.br,unknown,BCB IP registry + manual,
Cielo,Brazil,acquirer,cielo.com.br,confirmed,BCB IP registry + manual,"Largest Brazilian acquirer, Bradesco-controlled"
Galax Pay,Brazil,sub_acquirer,galaxpay.com.br,confirmed,BCB IP registry + manual,Recurring billing sub-acquirer
Pagbrasil Tecnologia,Brazil,payment_institution,,likely,BCB IP registry,Licensed Instituição de Pagamento; acquiring inferred
Celcoin,Brazil,payment_institution,celcoin.com.br,confirmed,BCB IP registry + manual,BaaS + acquiring infrastructure
Crystal BMC,Brazil,payment_institution,,unknown,BCB IP registry + manual,
Blu Pagamentos,Brazil,sub_acquirer,useblu.com.br,confirmed,BCB IP registry + manual,B2B sub-acquirer
ShopeePay (Maree),Brazil,wallet,shopee.com.br,confirmed,BCB IP registry + manual,Shopee wallet
